address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
Jardine St,Commerce,CA,90040,,929.0,2.0,1.0,277.0,Pre-foreclosure / Auction,"http://www.zillow.com/homes/for_sale/247598937_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
S Mcdonnell Ave,Commerce,CA,90040,,720.0,2.0,1.0,61.0,Pre-foreclosure,"http://www.zillow.com/homes/for_sale/250915772_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Gafford St,Commerce,CA,90040,,1008.0,2.0,1.0,239.0,Pre-foreclosure,"http://www.zillow.com/homes/for_sale/248450138_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Cowlin Ave,Commerce,CA,90040,,2511.0,3.0,3.0,241.0,Pre-foreclosure,"http://www.zillow.com/homes/for_sale/248625819_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Triggs St,Commerce,CA,90040,,1633.0,4.0,2.0,143.0,Pre-foreclosure,"http://www.zillow.com/homes/for_sale/249883911_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
S Mcbride Ave,Commerce,CA,90040,,1773.0,4.0,2.0,33.0,Pre-foreclosure / Auction,"http://www.zillow.com/homes/for_sale/250034897_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
S Mcbride Ave,Commerce,CA,90040,,742.0,2.0,1.0,247.0,Pre-foreclosure / Auction,"http://www.zillow.com/homes/for_sale/135607579_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Nobel St,Commerce,CA,90040,,861.0,2.0,1.0,17.0,Pre-foreclosure / Auction,"http://www.zillow.com/homes/for_sale/250034898_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Leo Ave,Commerce,CA,90040,,996.0,3.0,1.0,16.0,Pre-foreclosure,"http://www.zillow.com/homes/for_sale/251423976_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
5051 Argus Dr,Los Angeles,CA,90041,299000,559.0,1.0,1.0,16.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/5051-Argus-Dr-Los-Angeles-CA-90041/2086441056_zpid/
4831 Mount Royal Dr,LOS ANGELES,CA,90041,949000,1340.0,3.0,2.0,,House for sale,http://www.zillow.com/homes/for_sale//homedetails/4831-Mount-Royal-Dr-Los-Angeles-CA-90041/20852181_zpid/
5051 Argus Dr TRLR 8,Los Angeles,CA,90041,299000,559.0,1.0,1.0,16.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/5051-Argus-Dr-TRLR-8-Los-Angeles-CA-90041/2086441417_zpid/
1936 Chickasaw Ave,LOS ANGELES,CA,90041,800000,968.0,2.0,2.0,,House for sale,http://www.zillow.com/homes/for_sale//homedetails/1936-Chickasaw-Ave-Los-Angeles-CA-90041/20851907_zpid/
1691 Hill Dr,LOS ANGELES,CA,90041,1599999,2735.0,4.0,4.0,7.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/1691-Hill-Dr-Los-Angeles-CA-90041/20844907_zpid/
4900 Onteora Way,LOS ANGELES,CA,90041,1395000,1635.0,3.0,2.0,1.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/4900-Onteora-Way-Los-Angeles-CA-90041/20850097_zpid/
5238 Townsend Ave,LOS ANGELES,CA,90041,799000,1237.0,2.0,1.0,14.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/5238-Townsend-Ave-Los-Angeles-CA-90041/20845099_zpid/
4460 Lincoln Ave,LOS ANGELES,CA,90041,789000,968.0,2.0,1.0,,House for sale,http://www.zillow.com/homes/for_sale//homedetails/4460-Lincoln-Ave-Los-Angeles-CA-90041/20765120_zpid/
4851 La Roda Ave,LOS ANGELES,CA,90041,719000,916.0,2.0,1.0,2.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/4851-La-Roda-Ave-Los-Angeles-CA-90041/20852003_zpid/
1444 Hazelwood Ave,LOS ANGELES,CA,90041,1199000,3000.0,6.0,4.0,1.0,Apartment for sale,http://www.zillow.com/homes/for_sale//homedetails/1444-Hazelwood-Ave-Los-Angeles-CA-90041/20765168_zpid/
2224 1/2 Strata Ln,Los Angeles,CA,90041,789000,1530.0,3.0,4.0,,House for sale,http://www.zillow.com/homes/for_sale//homedetails/2224-1-2-Strata-Ln-Los-Angeles-CA-90041/145643505_zpid/
2031 Las Colinas Ave,LOS ANGELES,CA,90041,650000,704.0,2.0,1.0,46.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/2031-Las-Colinas-Ave-Los-Angeles-CA-90041/20851395_zpid/
5343 Hilltop Rd,LOS ANGELES,CA,90041,1300000,2170.0,3.0,2.0,14.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/5343-Hilltop-Rd-Los-Angeles-CA-90041/20845458_zpid/
4328 Eagle Rock Blvd,Los Angeles,CA,90041,932900,1900.0,3.0,3.0,,House for sale,http://www.zillow.com/homes/for_sale//homedetails/4328-Eagle-Rock-Blvd-Los-Angeles-CA-90041/2092199926_zpid/
1656 Oak Grove Dr,LOS ANGELES,CA,90041,949900,1220.0,2.0,2.0,109.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/1656-Oak-Grove-Dr-Los-Angeles-CA-90041/20852634_zpid/
1613 Fair Park Ave,LOS ANGELES,CA,90041,745000,1458.0,4.0,3.0,108.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/1613-Fair-Park-Ave-Los-Angeles-CA-90041/20852191_zpid/
4508 Mont Eagle Pl,LOS ANGELES,CA,90041,879000,944.0,2.0,2.0,55.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/4508-Mont-Eagle-Pl-Los-Angeles-CA-90041/20765301_zpid/
